Date,Open,High,Low,Close,Adj Close,Volume
2017-03-23,55.000000,57.000000,50.500000,51.500000,49.442596,1996275
2017-03-24,52.250000,54.000000,51.750000,52.000000,49.922619,195560
2017-03-27,52.750000,52.750000,51.000000,51.250000,49.202583,60114
2017-03-28,51.250000,51.500000,51.000000,51.500000,49.442596,92096
2017-03-29,51.750000,52.500000,51.000000,51.000000,48.962570,67076
2017-03-30,51.000000,51.500000,50.250000,50.500000,48.482544,220181
2017-03-31,49.000000,49.299999,47.500000,49.299999,47.330486,407748
2017-04-03,49.000000,49.299999,48.400002,49.299999,47.330486,178345
2017-04-04,48.900002,49.500000,48.400002,48.500000,46.562443,145221
2017-04-05,48.500000,50.250000,48.400002,50.000000,48.002518,17093
2017-04-06,50.000000,52.000000,50.000000,51.750000,49.682610,125805
2017-04-07,52.000000,52.750000,51.500000,52.000000,49.922619,89658
2017-04-10,53.000000,53.500000,52.000000,53.000000,50.882671,72331
2017-04-11,53.000000,53.750000,52.000000,52.500000,50.402645,62758
2017-04-12,52.500000,55.000000,52.500000,53.750000,51.602711,19354
2017-04-13,53.750000,55.500000,53.000000,55.000000,52.802773,5236
2017-04-18,55.250000,57.750000,54.250000,55.500000,53.282799,30388
2017-04-19,57.000000,57.000000,54.250000,55.000000,52.802773,17771
2017-04-20,55.500000,56.500000,55.000000,55.000000,52.802773,14063
2017-04-21,55.250000,56.250000,54.750000,54.750000,52.562756,6983
2017-04-24,54.750000,55.250000,53.250000,55.000000,52.802773,19672
2017-04-25,55.000000,55.000000,53.000000,54.000000,51.842724,3382
2017-04-26,54.000000,54.000000,53.000000,53.250000,51.122688,5522
2017-04-27,53.000000,53.000000,52.000000,52.500000,50.402645,9111
2017-04-28,52.000000,54.000000,51.500000,54.000000,51.842724,7289
2017-05-02,54.000000,54.000000,52.000000,53.500000,51.362698,6320
2017-05-03,54.250000,55.250000,53.750000,54.500000,52.322746,53750
2017-05-04,55.000000,55.000000,54.250000,54.250000,52.082733,14700
2017-05-05,54.250000,54.500000,53.750000,53.750000,51.602711,15054
2017-05-08,54.000000,55.000000,54.000000,54.250000,52.082733,8754
2017-05-09,54.750000,54.750000,53.000000,53.750000,51.602711,11531
2017-05-10,53.750000,54.500000,52.000000,54.500000,52.322746,12368
2017-05-11,56.000000,58.000000,54.000000,56.000000,53.762825,538129
2017-05-12,56.000000,60.000000,56.000000,59.000000,56.642975,47355
2017-05-15,60.000000,63.750000,60.000000,60.000000,57.603024,35108
2017-05-16,60.000000,63.000000,60.000000,61.000000,58.563076,21232
2017-05-17,61.000000,62.000000,60.250000,60.250000,57.843037,7632
2017-05-18,60.000000,61.000000,58.000000,60.000000,57.603024,54212
2017-05-19,60.000000,60.500000,58.000000,59.000000,56.642975,17023
2017-05-22,58.500000,60.000000,58.000000,59.500000,57.122997,6944
2017-05-23,59.000000,59.500000,58.250000,59.000000,56.642975,4435
2017-05-24,59.000000,60.500000,59.000000,60.000000,57.603024,6462
2017-05-26,60.000000,62.500000,60.000000,61.000000,58.563076,13158
2017-05-29,60.000000,61.000000,60.000000,61.000000,58.563076,16952
2017-05-30,61.000000,61.000000,59.750000,60.250000,57.843037,183546
2017-05-31,60.250000,61.500000,60.000000,60.500000,58.083046,29960
2017-06-01,60.500000,61.000000,60.000000,60.000000,57.603024,2332
2017-06-02,60.000000,61.000000,59.000000,60.250000,57.843037,11414
2017-06-05,60.000000,62.000000,59.250000,62.000000,59.523125,19459
2017-06-06,62.000000,62.000000,62.000000,62.000000,59.523125,0
2017-06-07,62.000000,66.000000,62.000000,63.000000,60.483173,38363
2017-06-08,63.500000,63.500000,61.250000,63.000000,60.483173,30077
2017-06-09,64.000000,69.750000,64.000000,65.500000,62.883301,17529
2017-06-12,68.000000,69.000000,64.000000,65.250000,62.643291,13160
2017-06-13,65.500000,69.000000,65.000000,67.250000,64.563393,5094
2017-06-14,67.250000,68.000000,65.000000,68.000000,65.283432,3684
2017-06-15,67.750000,67.750000,65.000000,66.000000,63.363327,6029
2017-06-16,66.000000,71.000000,65.000000,68.250000,65.523445,75820
2017-06-19,70.000000,73.750000,69.000000,73.000000,70.083687,78767
2017-06-20,73.000000,75.000000,71.750000,71.750000,68.883621,20433
2017-06-21,74.000000,76.000000,70.000000,72.500000,69.603653,13532
2017-06-22,73.250000,75.000000,73.000000,74.750000,71.763771,99556
2017-06-23,74.750000,74.750000,74.750000,74.750000,71.763771,0
2017-06-26,76.000000,79.750000,76.000000,79.250000,76.084000,22711
2017-06-27,79.500000,83.000000,79.250000,81.250000,78.004089,37059
2017-06-28,81.500000,82.750000,80.750000,81.000000,77.764084,209169
2017-06-29,81.500000,84.500000,79.500000,81.500000,78.244110,468929
2017-06-30,81.250000,82.000000,79.250000,80.000000,76.804024,148901
2017-07-03,80.000000,80.000000,73.750000,76.000000,72.963829,33607
2017-07-04,75.250000,75.500000,70.750000,72.000000,69.123634,49277
2017-07-05,72.000000,76.000000,71.000000,75.500000,72.483810,10681
2017-07-06,75.500000,77.750000,75.000000,77.000000,73.923882,20612
2017-07-07,77.000000,77.000000,74.250000,76.000000,72.963829,3237
2017-07-10,80.000000,80.000000,77.250000,78.500000,75.363960,8951
2017-07-11,80.000000,80.000000,74.250000,77.000000,73.923882,57443
2017-07-12,78.500000,79.000000,71.000000,72.500000,69.603653,17547
2017-07-13,72.000000,72.250000,70.250000,72.250000,69.363640,10788
2017-07-14,72.500000,73.750000,72.500000,72.750000,69.843674,1905
2017-07-17,73.000000,73.750000,72.000000,73.750000,70.803719,8821
2017-07-18,74.000000,74.000000,71.000000,73.250000,70.323692,34077
2017-07-19,73.250000,73.250000,71.250000,73.000000,70.083687,5716
2017-07-20,73.000000,73.000000,71.000000,72.500000,69.603653,14413
2017-07-21,72.250000,72.250000,70.000000,72.250000,69.363640,45206
2017-07-24,71.000000,71.750000,70.000000,71.000000,68.163589,3259
2017-07-25,71.000000,71.500000,70.750000,71.000000,68.163589,7113
2017-07-26,72.500000,72.750000,70.250000,72.000000,69.123634,38578
2017-07-27,72.750000,72.750000,72.000000,72.250000,69.363640,13232
2017-07-28,72.500000,72.500000,70.000000,71.750000,68.883621,54676
2017-07-31,71.750000,72.500000,71.750000,72.500000,69.603653,2742
2017-08-01,72.500000,72.750000,70.000000,72.500000,69.603653,2967
2017-08-02,72.500000,75.000000,72.500000,75.000000,72.003769,7790
2017-08-03,74.000000,75.000000,73.000000,74.500000,71.523750,6195
2017-08-04,74.500000,74.500000,74.000000,74.000000,71.043732,1771
2017-08-07,74.250000,74.250000,74.000000,74.000000,71.043732,1144
2017-08-08,74.000000,74.750000,74.000000,74.000000,71.043732,3060
2017-08-09,74.000000,77.000000,74.000000,74.750000,71.763771,18593
2017-08-10,75.500000,77.750000,75.000000,75.500000,72.483810,44945
2017-08-11,75.500000,75.500000,73.000000,74.750000,71.763771,275665
2017-08-14,74.750000,77.000000,73.000000,76.250000,73.203842,5609
2017-08-15,76.750000,77.000000,74.250000,75.500000,72.483810,5975
2017-08-16,75.500000,76.750000,75.250000,75.250000,72.243790,3870
2017-08-17,77.500000,80.500000,77.000000,78.000000,74.883934,234306
2017-08-18,77.000000,78.000000,76.500000,77.000000,73.923882,11074
2017-08-21,77.000000,78.750000,72.500000,74.000000,71.043732,11374
2017-08-22,74.000000,75.000000,74.000000,74.500000,71.523750,61753
2017-08-23,75.250000,75.500000,72.500000,73.250000,70.323692,17856
2017-08-24,76.000000,76.000000,71.250000,71.750000,68.883621,7786
2017-08-25,71.000000,73.500000,71.000000,73.500000,70.563705,21373
2017-08-28,76.250000,76.500000,74.500000,74.500000,71.523750,34713
2017-08-29,74.500000,75.000000,73.250000,74.500000,71.523750,47828
2017-08-30,74.500000,77.000000,74.500000,75.750000,72.723816,111948
2017-08-31,76.250000,79.000000,76.250000,78.250000,75.123947,20426
2017-09-01,80.000000,81.000000,79.500000,79.750000,76.564026,10233
2017-09-04,79.750000,81.000000,79.750000,80.250000,77.044044,18829
2017-09-05,80.000000,80.750000,79.250000,80.000000,76.804024,8998
2017-09-06,80.000000,81.500000,78.500000,79.750000,76.564026,18778
2017-09-07,80.000000,81.000000,79.500000,80.000000,76.804024,144353
2017-09-08,80.000000,80.000000,75.500000,76.500000,73.443863,64052
2017-09-11,77.500000,77.750000,75.500000,75.750000,72.723816,15330
2017-09-12,76.000000,76.750000,75.000000,76.750000,73.683876,16179
2017-09-13,77.000000,77.000000,75.500000,77.000000,73.923882,12532
2017-09-14,77.500000,78.250000,75.750000,76.750000,73.683876,11355
2017-09-15,78.000000,78.000000,76.250000,77.000000,73.923882,18606
2017-09-18,78.000000,78.000000,75.000000,76.750000,73.683876,14223
2017-09-19,77.250000,77.250000,74.750000,76.000000,72.963829,15547
2017-09-20,75.000000,75.000000,73.750000,74.750000,71.763771,12695
2017-09-21,73.000000,74.250000,71.500000,74.250000,71.283745,103372
2017-09-22,74.250000,75.000000,72.250000,75.000000,72.003769,13324
2017-09-25,74.000000,74.250000,73.250000,73.500000,70.563705,15398
2017-09-26,75.500000,75.500000,72.250000,72.500000,69.603653,25645
2017-09-27,72.500000,73.500000,72.500000,72.500000,69.603653,14921
2017-09-28,73.000000,73.000000,69.000000,70.250000,67.443535,69723
2017-09-29,70.000000,70.000000,67.750000,69.000000,66.243477,81615
2017-10-02,69.250000,69.500000,67.000000,68.000000,65.283432,50085
2017-10-03,68.000000,69.500000,68.000000,69.500000,66.723495,17578
2017-10-04,70.250000,71.250000,67.500000,67.750000,65.043419,46290
2017-10-05,67.750000,68.500000,67.000000,67.000000,64.323380,26912
2017-10-06,67.250000,68.000000,62.500000,63.250000,60.723186,115829
2017-10-09,63.500000,64.250000,60.750000,60.750000,58.323063,82801
2017-10-10,61.500000,62.000000,60.000000,60.500000,58.083046,55867
2017-10-11,60.000000,61.750000,59.250000,61.500000,59.043102,38516
2017-10-12,61.500000,65.500000,61.500000,65.500000,62.883301,124013
2017-10-13,65.500000,67.000000,65.250000,65.750000,63.123310,132691
2017-10-16,66.000000,67.750000,65.250000,65.250000,62.643291,144682
2017-10-17,65.500000,67.250000,63.500000,64.000000,61.443230,57795
2017-10-18,64.000000,66.500000,63.750000,64.500000,61.923248,20881
2017-10-19,64.750000,64.750000,63.500000,64.000000,61.443230,13070
2017-10-20,64.000000,64.000000,62.250000,63.000000,60.483173,37369
2017-10-23,63.000000,63.500000,62.000000,62.750000,60.243164,18228
2017-10-24,62.750000,63.500000,62.000000,63.000000,60.483173,37167
2017-10-25,63.000000,64.000000,62.000000,63.250000,60.723186,220643
2017-10-26,63.500000,64.000000,60.000000,63.500000,60.963200,33478
2017-10-27,63.500000,64.000000,63.250000,63.500000,60.963200,13230
