Target,Stoploss
2,1
Price,RSI.cs,VWAP.cs,IsValid, TimeToValidate
53,56.14035,66.67561,False,1,
52.4,45.76271,60.04473,True,1,
53.5,47.88273,85.29443,False,2,
53.5,44.68085,89.0676,False,1,
52.5,50.86506,68.74799,True,3,
52.9,48.17518,92.604,False,1,
52.2,43.82022,64.49991,True,1,
54.6,52.19123,100,False,1,
53.9,33.85827,100,False,1,
53.1,41.15225,63.94901,False,1,
52.5,36.16072,38.97863,False,1,
51.3,41.15044,1.069998,False,2,
51.1,45.71429,0,False,1,
50.5,50.65503,0,False,1,
49.4,62.13593,0,False,3,
49,63.88889,0,False,2,
49.9,72.27723,6.468474,False,1,
47.8,66.36363,3.182348,False,2,
47.9,69.42149,14.47835,False,1,
45.85,71.18643,0,True,3,
45.65,74.14449,11.66488,True,2,
46.5,90.86755,33.46883,True,1,
49.9,83.33332,58.71322,False,2,
50.4,61.67882,64.48411,False,1,
49.15,57.72058,53.12741,False,1,
47.6,57.87545,37.5188,False,2,
47.4,61.66666,34.56629,False,4,
47,60.61643,28.47095,True,2,
47.2,58.63309,30.33511,False,2,
48.05,56.56934,43.23395,False,1,
45.7,56.77656,0,True,2,
45.5,57.55395,0,True,1,
48.25,58.57144,49.29526,True,1,
51.7,41.83673,100,False,1,
51,33.14764,100,True,2,
52,37.35955,100,True,2,
52.2,43.18182,100,True,2,
53.1,44.03974,80.25684,True,2,
53.5,36.61018,74.24039,True,1,
54.6,28.30882,77.93422,False,3,
54.6,25.17242,75.23984,False,2,
54.8,23.04964,73.20036,False,1,
53.8,23.04964,62.67707,True,3,
54.3,29.82456,65.39802,False,1,
53.5,15.32259,56.82263,True,1,
55.4,19.23077,69.67295,False,1,
51.9,20.57613,36.13086,False,1,
50.7,49.18032,19.92163,True,3,
51.5,51.1811,28.45965,False,6,
51.7,52,29.02361,False,5,
52.2,52,36.66063,False,2,
52.3,53.71899,39.63488,False,1,
51.6,55.08475,0.2220837,False,2,
51.5,63.15789,0,False,1,
50.2,63.47826,0,True,1,
51.5,68.25396,12.29987,False,1,
50.5,58.91473,0,False,2,
50.4,64.17911,0,False,1,
49.7,62.20472,0,False,5,
49.5,74.78262,21.68521,False,4,
50,64.63416,34.52015,False,3,
49.95,54.66667,30.85583,False,2,
49.75,61.48148,33.10083,False,1,
48.3,64.44446,24.02565,True,1,
50.9,75.32469,62.73882,False,1,
49.5,56.86274,44.18764,False,2,
50,59.63302,52.22702,False,1,
48.2,56.63717,23.81411,True,3,
49,58.47457,36.9972,False,1,
48,61.06194,18.12716,True,1,
49.95,61.06194,56.90055,False,1,
49,51.71103,33.89971,True,2,
49.9,52.61194,59.92923,True,1,
51.5,48.58155,78.48191,True,2,
51,45.06579,61.63789,True,1,
53.9,46.64537,100,True,2,
54,38.6921,96.43321,True,1,
56.2,33.2353,92.37876,True,2,
57,34.03616,96.99482,True,2,
57.8,26.5625,99.40378,True,1,
59.8,26.07362,100,True,2,
60,14.8485,100,True,1,
61.9,15.40881,100,True,1,
66.5,8.630959,100,False,1,
63.1,7.455009,94.40421,False,1,
60.8,17.80822,80.71167,True,2,
60.2,26.60944,78.56918,True,1,
63.8,30.49327,67.64643,True,1,
68,24.80315,69.73026,False,2,
67.9,23.59551,63.77722,False,1,
65,23.97003,52.55544,True,1,
68.4,33.9416,57.3414,False,1,
65.3,30.99999,48.73059,False,1,
64.5,38.39009,45.75377,False,3,
64,42.44373,43.75283,False,2,
64,43.63057,42.77081,False,1,
62,46.44068,33.21149,True,6,
62.1,58.36431,31.74718,True,5,
62,52.11865,27.89323,True,4,
63.1,47.19626,30.14696,True,4,
62.6,43.379,12.86764,True,2,
62.7,53.19149,0,True,1,
64,68.02721,8.533544,True,1,
69.2,62.26415,100,True,2,
69.5,38.46155,100,True,1,
71,46.35762,100,True,1,
73.5,28.8889,100,True,2,
73.5,20.39473,100,True,1,
76.5,17.68707,62.40921,False,1,
75.5,14.68925,55.23854,False,1,
72.5,9.580826,44.39713,True,2,
72.8,23.46938,44.24783,True,1,
75,22.72726,51.01017,False,1,
73.3,21.5311,44.35007,True,4,
72.6,25.79185,41.61813,True,3,
73.7,28.19384,45.68696,True,2,
73.8,28.44445,45.24413,True,1,
76.2,36.7816,55.15643,False,3,
75.9,32.82052,53.35762,False,2,
75.9,36.61201,53.01559,False,1,
74.5,42.40506,37.69771,True,4,
73.8,47.09302,9.038543,True,2,
74,59.0604,3.333673,True,1,
75.9,55.31915,100,True,1,
78.4,36.92307,100,False,1,
77.3,31.57894,100,False,1,
75.2,41.84396,51.73127,True,3,
76.5,43.4483,100,True,6,
76.1,37.08609,71.67371,True,2,
76.8,41.66666,100,True,4,
78,40,100,False,1,
76.8,43.47825,100,True,2,
77,46.93877,100,True,1,
80.6,46.30873,100,True,2,
81.2,32.16375,100,True,1,
93.5,28.23531,98.64495,False,1,
89,16.49485,60.40044,False,1,
86.7,29.33755,52.53943,True,7,
86.8,36.82541,52.13326,True,6,
86.2,34.42624,49.80933,True,5,
86.1,31.03449,48.7613,True,4,
87.8,32.73383,52.57206,True,3,
87,29.89691,49.65286,True,2,
87.4,32.53426,50.3612,True,1,
89.8,33.45071,57.30135,False,1,
87.7,28.04056,48.93626,False,5,
89.2,33.01589,55.71183,False,1,
87,35.37416,39.69132,False,3,
87,40.64516,30.64025,False,2,
87,67.37965,38.08533,False,1,
85.4,57.04224,6.946785,True,3,
85.8,54.81479,14.34568,True,2,
86.9,53.62318,42.072,False,3,
88,47.55243,69.92799,False,1,
86.3,43.79085,7.501916,False,1,
84,54.90196,0,False,1,
81.9,58.92857,0,True,1,
86.4,64.86487,48.53482,True,1,
99.7,58.25243,84.1355,True,2,
99.6,31.13206,72.92599,True,1,
103.6,32.89473,75.28487,False,4,
104.4,24.22359,72.25122,False,3,
105.4,23.63636,70.85023,False,1,
104.2,22.94117,67.2833,False,1,
102,22.02381,59.54203,False,1,
99.1,27.11864,50.63698,True,3,
99.9,33.60216,52.7414,False,1,
98.7,33.87534,46.83433,True,1,
102.4,32.96704,58.67235,True,1,
106.8,25.66138,69.41794,True,1,
109.2,18.95263,75.75278,False,2,
109.4,20.00002,78.21992,False,1,
104.6,30.52209,52.56986,False,1,
102.2,41.55406,38.95448,False,1,
99.7,52.5,23.71439,False,1,
98.5,57.91246,13.25423,True,1,
102.4,61.53846,37.04624,True,1,
108.2,52.76073,75.01287,True,2,
107.8,41.43647,69.56925,True,1,
112,37.09198,87.19737,False,1,
109.4,33.69272,67.74212,True,2,
111,36.10389,70.92463,True,1,
114,38.18681,82.33202,False,1,
112.8,39.71428,69.7437,False,2,
111.8,44.67455,64.35848,False,1,
107.2,46.53179,35.13842,False,1,
105.4,46.22093,20.58184,True,3,
105.2,45.26626,16.43884,True,2,
106.4,41.26984,23.00455,True,1,
109,37.46032,41.49149,True,1,
112.4,39.07285,69.55315,False,1,
107,42.44603,12.90694,False,1,
103.4,51.21952,38.56965,False,1,
101,63.35403,27.62893,True,1,
103.4,63.125,42.58268,False,1,
100,61.58536,26.36337,False,1,
96,71.08433,7.710871,False,1,
94.3,73.33333,5.080162,False,1,
91.1,73.84196,0,True,2,
91.2,72.80452,0,True,1,
93.6,71.13095,5.924229,True,1,
97.1,66.20111,22.13814,True,1,
99.8,62.20473,36.14378,False,1,
95.1,62.04188,3.430069,False,1,
93,71.89873,0,False,2,
93.8,69.33701,0,False,1,
89.5,64.37125,29.03344,False,1,
85.1,66.28894,23.67587,False,1,
83.5,74.53082,29.92262,True,2,
84.6,73.23943,35.46101,True,2,
85.8,67.48466,39.23021,True,1,
88,63.23987,46.63614,True,1,
91.2,54.98392,55.21156,True,3,
91.3,50,56.3108,True,2,
92.6,53.60501,61.13655,True,1,
96.5,57.57576,75.86875,True,2,
96,55.33981,78.06584,True,1,
128,48.31461,100,True,1,
132.2,19.08128,92.19221,False,2,
131,18,83.44028,False,1,
126,13.53251,73.36106,False,1,
121.6,14.43478,63.25245,True,1,
125,18.40796,59.85238,False,1,
123,17.73163,54.75357,False,3,
124.8,20.66246,55.80649,False,2,
123.8,20.79366,52.11197,False,1,
120.8,23.19078,46.32997,False,1,
119.2,26.84458,43.08752,True,3,
119.2,29.21876,41.85663,True,2,
119.4,31.11481,38.98521,True,1,
122.4,30.43478,40.35205,True,1,
125.8,59.0909,46.46295,False,1,
121.2,60.66665,40.31432,False,4,
123,64.67065,51.07241,False,1,
120.4,54.96689,39.01015,False,2,
121,52.11267,40.15866,False,1,
115.2,57.81249,10.13827,True,1,
118,63.2653,33.65918,False,1,
112.6,61.18421,12.32454,False,2,
113,66.09195,19.00421,False,1,
108.8,62.11179,9.316186,True,1,
115.8,64.94251,40.97707,True,1,
119.8,54.06698,59.43586,False,1,
115.4,49.5614,37.9073,False,1,
114,57.44681,32.03547,False,2,
113.2,63.11111,30.54016,False,1,
108.4,59.70873,12.95007,False,1,
107,66.51584,13.6996,False,3,
107.2,65.58139,22.56,False,2,
107,66.19719,29.25238,False,1,
105,61.08108,24.61066,True,1,
108.8,67.9558,43.05099,True,3,
110,55.49132,49.25178,False,1,
108.2,54.23729,41.55092,True,1,
119,50.9091,98.9637,True,1,
123.6,45.65218,100,True,1,
134.8,44.91979,100,False,1,
127,28.0543,68.17514,True,1,
130,37.15415,69.57597,False,1,
127.2,34.09091,60.26371,True,2,
128.4,31.49607,59.98294,True,1,
132,28.85376,65.32512,False,1,
130.2,27.03704,58.60307,False,4,
129,29.1367,53.8862,True,4,
129.6,28.1022,54.13371,True,3,
130,29.84496,54.62097,False,1,
128.6,30.31496,49.26859,True,1,
132.6,29.7619,59.94154,True,1,
138,34.40366,73.36678,False,1,
133,33.78378,56.97089,True,1,
139.8,52.35603,84.30471,False,2,
139,32.79569,72.86999,False,1,
137.6,37.14285,64.62442,True,5,
139.2,34.5238,68.63874,False,1,
137.6,34.11763,60.89926,True,3,
139,41.24998,65.14681,True,3,
140.2,36.07592,66.33205,True,2,
141,32.27847,66.24979,True,1,
144,32.07545,73.92483,True,2,
146,29.65114,79.32665,False,3,
147.6,25.14285,83.05509,False,1,
146,26.99385,71.10613,False,1,
144,36.11111,60.50676,False,1,
137.8,28.68216,33.41277,True,2,
140,53.96825,43.15998,False,2,
140.6,48.1203,45.61526,False,1,
138.4,44.18604,29.33679,False,7,
140,51.51515,39.3111,False,3,
140,45.45456,36.7693,False,2,
139,48,20.73105,False,1,
137.6,52.41935,0,False,9,
139.6,56.69289,10.44831,False,2,
139.6,59.01637,0,False,1,
137,64.28569,0,True,3,
137,72.64957,3.387656,True,2,
138.4,70.64218,40.92212,False,4,
140,63.20755,64.10625,False,2,
139.4,43.37351,54.1675,False,1,
137.8,52.00002,36.24899,False,1,
136,58.75,19.729,True,1,
141,57.69228,81.86041,True,1,
150.8,47.36842,100,True,1,
156.2,31.25,100,False,1,
153.8,24.09638,81.60369,True,1,
160.6,26.3158,95.44275,True,1,
164,23.07692,94.75887,False,1,
160,21.22642,74.08815,False,1,
111,23.74428,11.07722,True,2,
110.8,64.00862,34.21287,True,1,
119.4,65.0655,46.06309,False,1,
118,60.44625,44.70461,True,1,
127.6,60.76459,57.50856,False,1,
125.6,54.74861,54.84101,True,1,
139.6,54.83272,75.37518,False,1,
