Target,Stoploss
1,1
Price,RSI.cs,RSI.cs,IsValid, TimeToValidate
0.09654,80.85181,80.85181,False,1,
0.089844,76.59665,76.59665,False,1,
0.084263,85.71474,85.71474,True,1,
0.086496,96.66686,96.66686,False,1,
0.084821,89.82838,89.82838,True,2,
0.085379,90.32079,90.32079,True,1,
0.089844,88.88731,88.88731,True,2,
0.089844,76.92073,76.92073,True,1,
0.095424,75.40756,75.40756,True,1,
0.097098,61.53825,61.53825,False,1,
0.092076,56.9235,56.9235,False,1,
0.09096,58.82259,58.82259,False,1,
0.08817,57.57492,57.57492,False,4,
0.08817,59.4193,59.4193,False,3,
0.088728,61.19283,61.19283,False,1,
0.087612,51.78548,51.78548,False,1,
0.084821,43.74883,43.74883,False,1,
0.082589,53.06272,53.06272,False,1,
0.080915,53.99972,53.99972,False,1,
0.078683,57.69177,57.69177,True,2,
0.079241,70.83443,70.83443,False,2,
0.079799,69.38887,69.38887,False,1,
0.075335,85.00065,85.00065,False,1,
0.073661,93.33359,93.33359,False,2,
0.073103,92.30803,92.30803,False,1,
0.063616,92.10562,92.10562,True,2,
0.064174,94.00042,94.00042,True,1,
0.067522,92.15742,92.15742,True,3,
0.06808,83.92961,83.92961,True,2,
0.06808,81.81937,81.81937,True,1,
0.073661,80.00072,80.00072,True,1,
0.075893,64.28481,64.28481,True,2,
0.075335,57.89424,57.89424,True,1,
0.079799,55.55518,55.55518,True,1,
0.082589,49.18038,49.18038,True,2,
0.083147,46.15406,46.15406,True,1,
0.085938,37.93179,37.93179,False,2,
0.085938,31.66682,31.66682,False,1,
0.080915,30.50873,30.50873,True,1,
0.082589,19.60929,19.60929,False,1,
0.081473,18.86939,18.86939,True,1,
0.083147,24.49076,24.49076,True,1,
0.087612,23.53044,23.53044,False,3,
0.087612,20.33955,20.33955,False,2,
0.087054,24.49076,24.49076,False,1,
0.084821,28.26147,28.26147,True,2,
0.084821,32.65561,32.65561,True,1,
0.086496,39.02631,39.02631,True,1,
0.089286,41.02541,41.02541,False,1,
0.08817,37.20989,37.20989,True,1,
0.089286,45.0009,45.0009,False,2,
0.089286,42.85836,42.85836,False,1,
0.08817,27.27372,27.27372,False,1,
0.085938,34.37483,34.37483,False,1,
0.079799,38.23452,38.23452,True,2,
0.080357,57.14163,57.14163,True,1,
0.081473,68.57114,68.57114,True,2,
0.082031,64.86513,64.86513,True,1,
0.084263,62.16282,62.16282,True,1,
0.087054,51.35123,51.35123,False,1,
0.080915,45.23658,45.23658,False,1,
0.079799,60.00072,60.00072,True,1,
0.081473,68.08495,68.08495,True,1,
0.084263,62.50046,62.50046,False,3,
0.084263,58.82436,58.82436,False,2,
0.084821,58.82436,58.82436,False,1,
0.080915,56.00114,56.00114,True,2,
0.080357,58.4914,58.4914,True,1,
0.082031,48.8373,48.8373,True,1,
0.084263,46.66694,46.66694,False,1,
0.083147,44.68127,44.68127,True,4,
0.083147,47.91682,47.91682,True,3,
0.083705,52.27254,52.27254,False,1,
0.082589,57.5019,57.5019,True,1,
0.084821,45.16128,45.16128,False,2,
0.085379,36.36362,36.36362,False,1,
0.083705,38.70969,38.70969,False,4,
0.084263,51.72412,51.72412,False,3,
0.084263,50,50,False,2,
0.083705,51.72416,51.72416,False,1,
0.080915,39.13041,39.13041,True,1,
0.083147,48.14816,48.14816,True,1,
0.087054,46.42857,46.42857,True,1,
0.094308,41.93305,41.93305,True,1,
0.102121,26.18935,26.18935,False,1,
0.097656,19.64159,19.64159,True,1,
0.09933,30.159,30.159,False,1,
0.097098,26.56307,26.56307,False,2,
0.097656,32.81255,32.81255,False,1,
0.093192,32.81255,32.81255,True,1,
0.094866,37.68082,37.68082,True,1,
0.098772,36.61947,36.61947,False,3,
0.098772,33.33334,33.33334,False,2,
0.098214,32.4676,32.4676,False,1,
0.093192,28.76746,28.76746,False,1,
0.092076,38.46118,38.46118,False,1,
0.084821,43.83591,43.83591,True,1,
0.088728,61.6442,61.6442,False,1,
0.083147,68.1817,68.1817,False,1,
0.080357,69.11745,69.11745,True,2,
0.079799,74.28514,74.28514,True,1,
0.083705,73.13382,73.13382,True,1,
0.089286,67.12325,67.12325,True,1,
0.09096,54.66623,54.66623,False,1,
0.088728,54.66622,54.66622,True,1,
0.090402,62.49874,62.49874,True,1,
0.092076,59.99904,59.99904,False,2,
0.092634,57.14219,57.14219,False,1,
0.089844,50.72457,50.72457,False,1,
0.086496,52.7775,52.7775,True,2,
0.087054,47.69112,47.69112,True,1,
0.089844,52.54222,52.54222,True,1,
0.09096,38.88759,38.88759,False,1,
0.089844,31.37144,31.37144,False,3,
0.090402,32.69117,32.69117,False,2,
0.090402,36.95508,36.95508,False,1,
0.08817,47.22222,47.22222,False,2,
0.08817,56.75677,56.75677,False,1,
0.082589,51.51516,51.51516,True,2,
0.082589,67.50146,67.50146,True,1,
0.083705,72.9743,72.9743,False,1,
0.082589,71.054,71.054,True,1,
0.083705,68.57305,68.57305,False,1,
0.082031,58.06695,58.06695,True,1,
0.083147,63.63834,63.63834,True,1,
0.084263,70.00182,70.00182,False,2,
0.083705,70.00182,70.00182,False,1,
0.082589,68.96745,68.96745,False,1,
0.081473,73.33492,73.33492,False,7,
0.082031,75.0014,75.0014,False,6,
0.081473,68.96745,68.96745,False,5,
0.081473,70.0018,70.0018,False,4,
0.082031,55,55,False,3,
0.082031,52.38097,52.38097,False,2,
0.082031,57.89476,57.89476,False,1,
0.080357,52.9412,52.9412,False,1,
0.074219,66.66669,66.66669,False,1,
0.073103,76.9231,76.9231,False,4,
0.073661,84.61541,84.61541,False,1,
0.072545,88.00006,88.00006,False,2,
0.072545,88.46159,88.46159,False,1,
0.06808,87.50006,87.50006,False,2,
0.067522,90.00065,90.00065,False,1,
0.066406,93.33377,93.33377,False,1,
0.063058,93.5488,93.5488,True,1,
0.06808,94.59489,94.59489,True,1,
0.074219,77.77866,77.77866,True,1,
0.079799,62.49919,62.49919,False,1,
0.078683,53.03014,53.03014,False,1,
0.074219,52.30757,52.30757,False,2,
0.073661,50,50,False,1,
0.072545,49.18038,49.18038,True,1,
0.074219,51.61281,51.61281,True,1,
0.075335,47.61918,47.61918,True,2,
0.075335,46.15405,46.15405,True,1,
0.079241,38.59528,38.59528,False,4,
0.079241,33.33238,33.33238,False,3,
0.079241,31.14661,31.14661,False,2,
0.078683,23.63558,23.63558,False,1,
0.077567,29.7861,29.7861,False,3,
0.078125,42.10526,42.10526,False,2,
0.077567,55.1724,55.1724,False,1,
0.071429,53.57141,53.57141,True,2,
0.071987,58.06453,58.06453,True,1,
0.073103,54.8387,54.8387,True,1,
0.075335,48.38708,48.38708,False,1,
0.073661,46.875,46.875,False,1,
0.070313,54.54546,54.54546,False,2,
0.069754,61.53848,61.53848,False,1,
0.068638,75.7589,75.7589,True,2,
0.068638,77.14403,77.14403,True,1,
0.070313,77.14403,77.14403,False,1,
0.06808,70.2683,70.2683,False,1,
0.06529,71.79417,71.79417,True,3,
0.06529,76.74291,76.74291,True,2,
0.065848,76.18925,76.18925,True,1,
0.06808,65.62515,65.62515,True,1,
0.070313,60.00102,60.00102,False,1,
0.069196,56.75546,56.75546,True,1,
0.071429,65.71282,65.71282,True,1,
0.072545,55.5539,55.5539,False,1,
0.071429,43.7521,43.7521,False,1,
0.069196,45.45306,45.45306,False,1,
0.067522,48.57186,48.57186,False,2,
0.06808,52.63083,52.63083,False,1,
0.06529,55.55666,55.55666,False,1,
0.064174,56.75546,56.75546,False,1,
0.063058,52.94055,52.94055,True,4,
0.0625,55.55444,55.55444,True,2,
0.063058,58.33168,58.33168,True,2,
0.063616,63.63342,63.63342,False,4,
0.064174,69.99939,69.99939,False,3,
0.064174,65.51534,65.51534,False,2,
0.063616,76.00172,76.00172,False,1,
0.0625,83.33458,83.33458,False,2,
0.0625,83.33458,83.33458,False,1,
0.061384,80,80,True,1,
0.0625,78.94736,78.94736,False,1,
0.060268,75.00002,75.00002,False,1,
0.058594,73.68422,73.68422,False,3,
0.058594,75.00001,75.00001,False,2,
0.058036,72.22223,72.22223,False,1,
0.05692,72.22224,72.22224,True,2,
0.057478,78.94736,78.94736,True,1,
0.05971,78.94739,78.94739,False,4,
0.05971,68.18181,68.18181,False,3,
0.05971,68.18181,68.18181,False,2,
0.05971,66.66667,66.66667,False,1,
0.058594,63.1579,63.1579,False,1,
0.057478,66.66667,66.66667,True,2,
0.057478,66.66667,66.66667,True,1,
0.05971,73.68421,73.68421,True,1,
0.061384,52.63158,52.63158,False,2,
0.061384,36.8421,36.8421,False,1,
0.059152,36.8421,36.8421,False,2,
0.058594,45.45454,45.45454,False,1,
0.05692,42.85714,42.85714,False,3,
0.05692,52.17391,52.17391,False,2,
0.056362,63.1579,63.1579,False,1,
0.053571,65,65,False,1,
0.051339,72.002,72.002,False,2,
0.051339,75.86356,75.86356,False,1,
0.049107,74.07579,74.07579,True,1,
0.050781,75.86356,75.86356,True,1,
0.051897,68.75175,68.75175,True,1,
0.055246,73.33492,73.33492,True,1,
0.055804,66.66486,66.66486,True,1,
0.05692,64.70433,64.70433,True,1,
0.059152,56.2493,56.2493,True,2,
0.05971,48.57158,48.57158,True,1,
0.063616,42.42507,42.42507,False,4,
0.063616,35.00134,35.00134,False,3,
0.064174,33.33486,33.33486,False,1,
0.063058,22.85597,22.85597,False,1,
0.060268,18.18084,18.18084,False,2,
0.060268,28.946,28.946,False,1,
0.057478,20.58714,20.58714,True,1,
0.05971,33.33167,33.33167,True,2,
0.060268,31.57745,31.57745,True,1,
0.061942,36.36364,36.36364,False,1,
0.058036,34.28571,34.28571,False,2,
0.057478,47.5,47.5,False,1,
0.055246,54.05406,54.05406,False,1,
0.054688,60,60,True,1,
0.055246,73.52942,73.52942,True,1,
0.058594,71.42858,71.42858,True,4,
0.059152,62.49999,62.49999,True,4,
0.058594,58.97435,58.97435,True,2,
0.058594,54.28571,54.28571,True,1,
0.05971,54.28571,54.28571,True,1,
0.063616,43.75,43.75,True,3,
0.063616,40,40,True,2,
0.064174,41.17647,41.17647,True,1,
0.065848,43.75001,43.75001,True,1,
0.068638,25,25,True,1,
0.071987,18.75,18.75,True,1,
0.077009,5.88205,5.88205,True,1,
0.079241,2.380844,2.380844,False,1,
0.075335,2.22213,2.22213,True,1,
0.076451,17.39062,17.39062,True,1,
0.080357,17.02062,17.02062,False,1,
0.078125,13.20709,13.20709,True,1,
0.081473,19.29763,19.29763,False,2,
0.082031,18.03225,18.03225,False,1,
0.077567,19.99934,19.99934,True,1,
0.080357,30.15785,30.15785,False,1,
0.078683,28.35744,28.35744,True,1,
0.080915,32.83494,32.83494,True,2,
0.081473,33.33242,33.33242,True,1,
0.084263,36.06557,36.06557,False,2,
0.083705,38.59649,38.59649,False,1,
0.080915,42.59259,42.59259,False,1,
0.079241,40.38462,40.38462,True,2,
0.079799,45.28302,45.28302,True,1,
0.081473,51.06384,51.06384,True,1,
0.083705,43.47826,43.47826,False,2,
0.083705,45.45454,45.45454,False,1,
0.080915,46.51162,46.51162,True,2,
0.080915,42.50002,42.50002,True,1,
0.082031,48.57144,48.57144,True,4,
0.082031,41.17647,41.17647,True,3,
0.081473,46.66667,46.66667,True,1,
0.082589,50,50,True,1,
0.083705,55.55555,55.55555,True,2,
0.084263,50,50,True,1,
0.090402,37.49999,37.49999,True,1,
0.097656,18.74895,18.74895,True,1,
0.104911,13.63581,13.63581,True,1,
0.107143,11.11037,11.11037,False,1,
0.103795,11.11037,11.11037,True,1,
0.104911,19.99881,19.99881,False,2,
0.105469,12.27992,12.27992,False,1,
0.102679,12.06821,12.06821,True,1,
0.104911,19.67097,19.67097,True,1,
0.107143,18.46052,18.46052,True,1,
0.113281,16.17562,16.17562,True,1,
0.116071,14.28506,14.28506,False,2,
0.115513,13.7494,13.7494,False,1,
0.108817,14.99934,14.99934,True,2,
0.109375,29.62897,29.62897,True,1,
0.112165,34.78171,34.78171,True,3,
0.112165,39.34426,39.34426,True,2,
0.113281,42.10527,42.10527,True,1,
0.11942,33.96227,33.96227,True,1,
0.12779,29.03143,29.03143,True,1,
0.137277,23.68365,23.68365,False,2,
0.138393,14.77212,14.77212,False,1,
0.134487,15.11565,15.11565,False,1,
0.128906,22.47099,22.47099,True,1,
0.133371,34.09086,34.09086,True,1,
0.138393,32.96641,32.96641,True,1,
0.147321,29.29262,29.29262,False,1,
0.144531,16.50545,16.50545,False,1,
0.141183,20.56106,20.56106,False,1,
0.133929,25.92587,25.92587,True,1,
0.140067,33.88377,33.88377,False,2,
0.140067,31.5381,31.5381,False,1,
0.137835,34.45374,34.45374,False,1,
0.125558,41.66626,41.66626,True,1,
0.128906,59.29239,59.29239,True,1,
0.131696,57.2654,57.2654,False,1,
0.129464,52.17459,52.17459,True,2,
0.128906,49.5413,49.5413,True,1,
0.142299,53.92238,53.92238,True,1,
0.145089,47.00864,47.00864,False,2,
0.145089,51.88673,51.88673,False,1,
0.141741,49.50496,49.50496,True,1,
0.149554,49.50498,49.50498,True,1,
0.151228,36.27436,36.27436,False,1,
0.147879,39.36136,39.36136,False,1,
0.140625,43.0005,43.0005,False,1,
0.13058,47.70657,47.70657,False,1,
0.12779,45.71459,45.71459,False,2,
0.126674,50.96147,50.96147,True,2,
0.126116,54.45514,54.45514,True,1,
0.128348,53.06101,53.06101,True,1,
0.134487,50.49501,50.49501,True,3,
0.133929,57.95389,57.95389,True,2,
0.135045,61.90374,61.90374,True,1,
0.138951,60.46423,60.46423,True,1,
0.142857,52.87332,52.87332,True,1,
0.146205,57.50061,57.50061,False,2,
0.145089,55.42242,55.42242,False,1,
0.140067,53.16442,53.16442,False,1,
0.133929,50.66664,50.66664,False,2,
0.133371,45.58703,45.58703,False,1,
0.127232,42.18633,42.18633,True,1,
0.134487,49.3151,49.3151,False,2,
0.135045,41.17596,41.17596,False,1,
0.130022,42.6823,42.6823,False,1,
0.122768,55.00079,55.00079,True,1,
0.128348,60.8699,60.8699,True,1,
0.130022,56.00059,56.00059,True,1,
0.137277,58.3338,58.3338,True,2,
0.137277,54.90161,54.90161,True,1,
0.147321,58.3327,58.3327,True,1,
0.152344,48.2144,48.2144,False,1,
0.148996,40.17855,40.17855,True,2,
0.150112,37.38341,37.38341,True,1,
0.166853,36.11143,36.11143,False,2,
0.166853,22.04712,22.04712,False,1,
0.157366,24.56145,24.56145,True,1,
0.163504,34.61578,34.61578,True,1,
0.170201,27.27261,27.27261,True,1,
0.18192,17.55743,17.55743,True,3,
0.183036,16.19723,16.19723,True,2,
0.182478,16.3121,16.3121,True,1,
0.186384,18.60476,18.60476,True,1,
0.191406,17.64723,17.64723,True,1,
0.199219,18.89773,18.89773,False,1,
0.196429,18.18195,18.18195,False,1,
0.188616,17.55743,17.55743,True,3,
0.186942,25.8747,25.8747,True,2,
0.188616,34.48319,34.48319,True,1,
0.200893,33.61394,33.61394,True,1,
0.207589,18.5485,18.5485,False,2,
0.206473,18.40013,18.40013,False,1,
0.202567,21.73936,21.73936,False,1,
0.198661,31.68327,31.68327,False,1,
0.196429,36.79229,36.79229,True,1,
0.202567,38.53186,38.53186,True,1,
0.207589,37.16796,37.16796,True,2,
0.209263,37.16796,37.16796,True,1,
0.214844,41.17678,41.17678,False,1,
0.208705,34.57938,34.57938,False,1,
0.203683,32.69234,32.69234,True,1,
0.207031,36.36348,36.36348,False,2,
0.208705,35.39813,35.39813,False,1,
0.202009,42.55348,42.55348,False,1,
0.199219,55.31894,55.31894,False,1,
0.195313,56.70078,56.70078,False,1,
0.189174,56.70078,56.70078,True,1,
0.194754,58.41629,58.41629,False,1,
0.191964,51.40263,51.40263,False,1,
0.189174,59.40632,59.40632,False,1,
0.18471,67.01029,67.01029,True,1,
0.1875,71.56837,71.56837,True,3,
0.1875,75.25864,75.25864,True,2,
0.189174,72.0936,72.0936,True,1,
0.191964,66.25076,66.25076,True,1,
0.196429,67.08934,67.08934,True,1,
0.198661,63.09467,63.09467,False,1,
0.189174,53.94719,53.94719,True,1,
0.192522,60.22767,60.22767,False,2,
0.192522,52.87442,52.87442,False,1,
0.189732,46.05281,46.05281,True,1,
0.195313,56.33771,56.33771,True,1,
0.197545,46.05173,46.05173,False,1,
0.188616,39.99952,39.99952,False,1,
0.183594,45.7835,45.7835,False,1,
0.180246,54.02265,54.02265,False,2,
0.178571,56.9887,56.9887,False,2,
0.176897,60.21502,60.21502,True,2,
0.175781,64.83469,64.83469,True,1,
0.185826,71.76497,71.76497,True,1,
0.189732,61.616,61.616,True,1,
0.196429,49.43824,49.43824,True,1,
0.200893,46.3152,46.3152,True,1,
0.204241,42.71822,42.71822,True,1,
0.209821,37.50023,37.50023,False,1,
0.207589,37.50087,37.50087,True,1,
0.226004,41.34676,41.34676,True,1,
0.232143,22.3142,22.3142,False,1,
0.227679,14.63454,14.63454,False,1,
0.217076,16.00028,16.00028,True,1,
0.223214,25.53156,25.53156,False,4,
0.220982,22.14752,22.14752,True,1,
0.223214,23.17861,23.17861,False,2,
0.225446,25.54741,25.54741,False,1,
0.21875,26.11934,26.11934,False,1,
0.216518,35.07455,35.07455,True,1,
0.229911,39.23052,39.23052,True,1,
0.244978,34.459,34.459,False,4,
0.246094,30.9085,30.9085,False,1,
0.242746,28.83387,28.83387,False,2,
0.24442,38.96986,38.96986,False,1,
0.238281,41.40591,41.40591,False,3,
0.236049,42.74849,42.74849,False,2,
0.237165,35.34475,35.34475,False,1,
0.231027,38.31751,38.31751,True,2,
0.231585,42.10485,42.10485,True,1,
0.234375,43.24277,43.24277,True,1,
0.241629,42.85669,42.85669,True,1,
0.253906,31.85848,31.85848,True,1,
0.256696,24.42752,24.42752,True,1,
0.270089,28.57168,28.57168,False,2,
0.267857,29.358,29.358,False,1,
0.265067,32.4325,32.4325,False,2,
0.265067,31.81824,31.81824,False,1,
0.257813,32.7103,32.7103,True,2,
0.259487,33.94382,33.94382,True,2,
0.261161,30.55453,30.55453,True,1,
0.273996,30.27423,30.27423,True,1,
0.280134,18.18102,18.18102,False,1,
0.270647,16.7932,16.7932,False,1,
0.267299,27.27261,27.27261,False,2,
0.265625,33.08781,33.08781,False,2,
0.264509,41.02529,41.02529,False,1,
0.25558,43.85915,43.85915,False,1,
0.25,62.26438,62.26438,False,1,
0.242746,64.28583,64.28583,True,1,
0.25558,66.66669,66.66669,False,1,
0.250558,55.94446,55.94446,False,1,
0.238281,54.67673,54.67673,True,2,
0.239955,62.02591,62.02591,True,1,
0.24721,62.02591,62.02591,False,1,
0.239397,66.21664,66.21664,False,2,
0.237723,74.17252,74.17252,False,1,
0.224888,71.53302,71.53302,False,1,
0.209263,74.67563,74.67563,True,1,
0.219308,78.21259,78.21259,False,3,
0.218192,70.76926,70.76926,False,2,
0.219866,68.50818,68.50818,False,1,
0.210938,65.51731,65.51731,False,2,
0.211496,66.10172,66.10172,False,1,
0.208705,75.48327,75.48327,False,1,
0.206473,74.83416,74.83416,True,1,
0.212054,71.42819,71.42819,False,1,
0.207031,67.85619,67.85619,False,3,
0.205915,76.47012,76.47012,False,2,
0.205357,74.1929,74.1929,False,1,
0.198103,73.76987,73.76987,False,2,
0.197545,71.42766,71.42766,False,1,
0.195313,62.35189,62.35189,False,1,
0.184152,80.28067,80.28067,True,1,
0.193638,84.26892,84.26892,False,3,
0.195313,72.8157,72.8157,False,1,
0.192522,65.55501,65.55501,False,1,
0.174665,68.08493,68.08493,False,1,
0.16183,75.20585,75.20585,False,1,
0.151786,78.57079,78.57079,True,1,
0.155692,86.48626,86.48626,False,1,
0.154018,81.50676,81.50676,True,2,
0.15346,81.63255,81.63255,True,1,
0.155692,81.63255,81.63255,False,1,
