Price,AxisX,AxisY,IsValid
0.064174,94.00042,21.30394,True,
0.067522,92.15742,36.37398,True,
0.06808,83.92961,41.08553,True,
0.06808,81.81937,42.8917,True,
0.073661,80.00072,55.12503,True,
0.075893,64.28481,60.69596,True,
0.075335,57.89424,60.65681,True,
0.079799,55.55518,74.44859,True,
0.082589,49.18038,87.9476,True,
0.083147,46.15406,98.25545,True,
0.085938,37.93179,100,False,
0.085938,31.66682,100,False,
0.080915,30.50873,100,True,
0.082589,19.60929,100,False,
0.081473,18.86939,82.16751,True,
0.083147,24.49076,72.4306,True,
0.087612,23.53044,78.77645,False,
0.087612,20.33955,65.71445,False,
0.087054,24.49076,60.69932,False,
0.084821,28.26147,52.66328,True,
0.084821,32.65561,51.26893,True,
0.086496,39.02631,54.25058,True,
0.089286,41.02541,61.44672,False,
0.08817,37.20989,57.43747,False,
0.089286,45.0009,60.95842,False,
0.089286,42.85836,61.39044,False,
0.08817,27.27372,56.20498,False,
0.085938,34.37483,44.56068,False,
0.079799,38.23452,2.014543,True,
0.080357,57.14163,0,True,
0.081473,68.57114,0,True,
0.082031,64.86513,0,True,
0.084263,62.16282,1.546563,True,
0.087054,51.35123,76.3768,False,
0.080915,45.23658,0,False,
0.079799,60.00072,0,True,
0.081473,68.08495,0,True,
0.084263,62.50046,44.6283,False,
0.084263,58.82436,53.3126,False,
0.084821,58.82436,62.55516,False,
0.080915,56.00114,31.16164,True,
0.080357,58.4914,29.82725,True,
0.082031,48.8373,42.74699,True,
0.084263,46.66694,63.85272,False,
0.083147,44.68127,50.09189,True,
0.083147,47.91682,49.46188,True,
0.083705,52.27254,59.12173,False,
0.082589,57.5019,46.95379,True,
0.084821,45.16128,90.70306,False,
0.085379,36.36362,100,False,
0.083705,38.70969,45.34337,False,
0.084263,51.72412,65.4623,False,
0.084263,50,65.58229,False,
0.083705,51.72416,47.59725,False,
0.080915,39.13041,0,True,
0.083147,48.14816,19.44907,True,
0.087054,46.42857,100,True,
0.094308,41.93305,100,True,
0.102121,26.18935,100,False,
0.097656,19.64159,100,False,
0.09933,30.159,100,False,
0.097098,26.56307,93.15685,False,
0.097656,32.81255,83.19298,False,
0.093192,32.81255,59.24226,True,
0.094866,37.68082,62.69625,True,
0.098772,36.61947,74.8604,False,
0.098772,33.33334,69.51735,False,
0.098214,32.4676,59.55332,False,
0.093192,28.76746,40.78852,False,
0.092076,38.46118,34.8759,False,
0.084821,43.83591,0.5500273,True,
0.088728,61.6442,12.68493,False,
0.083147,68.1817,0,False,
0.080357,69.11745,0,True,
0.079799,74.28514,0,True,
0.083705,73.13382,3.192104,True,
0.089286,67.12325,45.68384,True,
0.09096,54.66623,57.1761,False,
0.088728,54.66622,45.08593,True,
0.090402,62.49874,57.17402,True,
0.092076,59.99904,68.90147,False,
0.092634,57.14219,74.83285,False,
0.089844,50.72457,63.08194,False,
0.086496,52.7775,48.64812,True,
0.087054,47.69112,50.21465,True,
0.089844,52.54222,72.9313,False,
0.09096,38.88759,90.57244,False,
0.089844,31.37144,71.08135,False,
0.090402,32.69117,62.2327,False,
0.090402,36.95508,56.21254,False,
0.08817,47.22222,26.53857,False,
0.08817,56.75677,27.34508,False,
0.082589,51.51516,0,True,
0.082589,67.50146,0,True,
0.083705,72.9743,0,False,
0.082589,71.054,0,True,
0.083705,68.57305,0,False,
0.082031,58.06695,0,True,
0.083147,63.63834,6.766287,False,
0.084263,70.00182,28.56601,False,
0.083705,70.00182,32.75974,False,
0.082589,68.96745,30.08973,False,
0.081473,73.33492,32.17569,False,
0.082031,75.0014,40.6199,False,
0.081473,68.96745,39.29053,False,
0.081473,70.0018,42.86757,False,
0.082031,55,46.28759,False,
0.082031,52.38097,46.28223,False,
0.082031,57.89476,47.22587,False,
0.080357,52.9412,34.1523,False,
0.074219,66.66669,0,False,
0.073103,76.9231,0,False,
0.073661,84.61541,11.62485,False,
0.072545,88.00006,20.28161,False,
0.072545,88.46159,21.65582,False,
0.06808,87.50006,7.650476,False,
0.067522,90.00065,14.61005,False,
0.066406,93.33377,18.42873,False,
0.063058,93.5488,14.48053,True,
0.06808,94.59489,35.05333,True,
0.074219,77.77866,58.19236,True,
0.079799,62.49919,81.47619,False,
0.078683,53.03014,79.95573,False,
0.074219,52.30757,60.94748,False,
0.073661,50,59.12394,False,
0.072545,49.18038,52.74148,True,
0.074219,51.61281,68.41853,True,
0.075335,47.61918,84.61806,True,
0.075335,46.15405,96.24844,True,
0.079241,38.59528,100,False,
0.079241,33.33238,100,False,
0.079241,31.14661,89.06302,False,
0.078683,23.63558,68.9846,False,
0.077567,29.7861,56.02387,False,
0.078125,42.10526,58.29992,False,
0.077567,55.1724,56.58431,False,
0.071429,53.57141,5.760981,True,
0.071987,58.06453,7.555509,True,
0.073103,54.8387,18.82561,True,
0.075335,48.38708,46.97244,False,
0.073661,46.875,16.96432,False,
0.070313,54.54546,0,False,
0.069754,61.53848,0,False,
0.068638,75.7589,0,True,
0.068638,77.14403,0,True,
0.070313,77.14403,27.04304,False,
0.06808,70.2683,19.62219,False,
0.06529,71.79417,10.06084,True,
0.06529,76.74291,15.86204,True,
0.065848,76.18925,30.69669,True,
0.06808,65.62515,43.42076,True,
0.070313,60.00102,56.91215,False,
0.069196,56.75546,53.55409,True,
0.071429,65.71282,68.61646,False,
0.072545,55.5539,77.79551,False,
0.071429,43.7521,73.53406,False,
0.069196,45.45306,58.49038,False,
0.067522,48.57186,43.87323,False,
0.06808,52.63083,49.58737,False,
0.06529,55.55666,15.9497,False,
0.064174,56.75546,0,False,
