Price,AxisX,AxisY,IsValid
8.5,29.74188,66.03259,False,
7.95,15.768,62.14833,False,
7.9,27.70963,75.63451,False,
8.19,48.98919,75.81863,False,
7.25,34.17868,69.21182,False,
7.15,35.62139,71.5909,False,
6.99,35.81413,68.75,False,
6.95,37.04621,66.30728,False,
6.6,33.14437,68.11989,True,
6.85,38.02015,67.5,True,
7.4,49.44792,63.02083,True,
7.33,48.89509,61.42132,True,
7.85,62.99323,59.78836,True,
8.43,83.4297,54.45784,False,
8.18,80.8602,50.78651,False,
8.45,100,47.22891,False,
8.7,100,43.7071,False,
8.85,100,44.11085,False,
8.65,100,27.40113,False,
8.17,100,29.39562,False,
8.44,100,35.10101,False,
8.6,92.26865,32.21957,False,
8.7,73.05517,25,False,
8.36,55.08666,25.97403,False,
8.65,61.93686,36.8132,False,
8.41,50.73852,32.90156,False,
8.04,38.43415,42.17877,False,
7.75,26.21412,55.78635,False,
7.75,24.08209,56.30499,False,
7.34,0,61.14649,True,
7.65,17.18155,70.60605,True,
7.8,34.20872,67.34105,True,
7.84,38.07253,62.46334,True,
7.95,49.89304,55.55556,True,
8.68,100,58.71886,False,
9.01,100,48.81657,False,
8.8,100,45.70636,False,
8.98,100,43.67815,False,
8.8,100,45.10386,False,
9.12,100,44.10875,False,
8.72,100,33.43558,False,
9.03,100,35.6083,False,
9.12,100,32.60869,False,
9.5,88.42515,23.51189,False,
9.5,82.68429,23.03205,False,
9.08,53.297,24.08535,False,
8.91,46.60576,33.0601,False,
8.36,28.8255,37.09677,True,
8.12,18.88964,54.51979,True,
8.75,42.37173,62.89856,True,
9.28,63.95182,50.646,False,
8.76,41.13541,46.4455,True,
8.9,47.67024,50.4386,False,
8.95,51.59766,52.51142,False,
9,55.62053,47.14641,False,
9.29,86.60765,50.39788,False,
9.2,99.48089,47.85894,False,
9.1,100,54.07609,False,
8.86,53.37218,55.291,True,
9.2,100,53.05556,False,
9.11,100,46.15385,False,
9.05,100,38.67069,False,
9.23,93.0267,35.14376,False,
9.34,96.98682,41.04478,False,
9.5,100,48.67256,False,
9.39,60.80827,30.52632,False,
9.52,70.27798,36.89837,False,
9.77,84.28008,35.3846,False,
9.75,82.49751,32.093,False,
9.44,58.37634,37.76595,False,
9.21,39.70633,44.28572,False,
9.38,51.88272,47.53364,False,
9.48,58.03283,37.96295,False,
9.25,39.18201,42.70834,False,
9.2,29.61742,46.60193,False,
9.05,0,46.34147,False,
9.02,0,54.45543,False,
8.92,0,58.24742,False,
9.04,0,65.42554,False,
8.9,0,59.25927,False,
8.67,0,66.31581,False,
8.78,6.026436,79.25534,False,
8.82,16.98232,74.61932,False,
8.72,20.66845,68.23531,False,
8.55,8.9516,65.60511,False,
8.38,6.81549,76.43316,False,
8.74,37.57574,83.5366,False,
8.65,44.24201,64.4068,False,
8.62,43.7557,65.19339,False,
8.3,27.42325,62.72191,False,
8.6,47.14032,68.18184,False,
8.3,27.82391,57.33945,False,
8.35,31.17567,65.67797,False,
8.49,40.91899,62.11453,False,
8.8,68.02125,54.12845,False,
9,91.14949,49.57982,False,
8.95,93.11083,46.45668,False,
8.88,91.40617,45.38153,False,
8.7,68.10778,43.09623,False,
9.05,100,43.33334,False,
9.07,100,43.51464,False,
9.03,100,40.94828,False,
8.8,84.80989,41.20172,False,
