Target,Stoploss
1,1
Price,RSI.cs,VWAP.cs,IsValid, TimeToValidate
34.125,68.75,22.71218,False,2,
34.125,57.14286,25.35163,False,1,
33.75,58.82353,9.337875,True,1,
34.125,61.11111,36.68493,False,1,
33,57.89474,0,False,7,
33,62.7907,0,False,6,
33,61.90476,9.242982,False,5,
33.125,65,27.03912,False,2,
33,70.27027,29.82972,False,3,
32.75,67.64706,30.27909,False,2,
33,66.66667,41.27455,False,1,
32.125,61.76471,26.20356,True,2,
32.25,71.79488,31.94141,True,1,
32.875,64.70589,47.95887,False,1,
32.375,64.70589,36.30265,False,1,
31.625,68.42105,17.57896,True,1,
32.25,70.7317,36.82684,True,3,
32.5,67.44186,45.58543,True,2,
32.5,55.55556,46.47595,True,1,
33.375,55.55556,79.20676,True,3,
33.625,46.51163,97.6478,False,1,
33.125,45.45455,77.93792,True,1,
33.75,48.93617,100,False,5,
33.875,42,100,False,3,
33.875,42.85714,100,False,2,
33.875,33.33334,91.93537,False,1,
33.5,34.14634,61.34824,False,1,
33.125,43.58974,41.31347,True,1,
33.5,42.10526,56.56046,True,1,
33.875,28.57143,64.85548,True,1,
34.25,30.30303,65.52779,True,3,
34.5,29.41177,69.67377,False,3,
34.375,27.77778,64.9101,False,2,
34.625,36.66666,69.5636,False,1,
33.75,36.66666,42.59477,False,6,
33.625,42.42424,37.02941,False,6,
33.5,51.72414,29.69247,True,3,
33.75,55.17241,39.24146,False,3,
33.75,51.6129,36.78708,False,2,
33.875,51.6129,43.69239,False,1,
33.375,44.82759,0,True,4,
33.25,46.66667,0,True,3,
33.125,53.57143,0,True,1,
33.5,61.53846,0,True,1,
34,61.53846,88.31802,False,1,
33.375,57.14286,0,True,1,
34,62.5,84.05542,True,1,
34.375,57.14286,100,False,3,
34.5,41.93548,100,False,2,
34.25,38.70967,100,False,1,
33.875,40.625,62.38665,True,2,
34,48.48485,97.88943,True,1,
34.5,47.05883,100,True,1,
35.625,43.24324,100,False,1,
34.375,28.57143,86.48885,False,2,
34.125,41.17647,51.37891,True,4,
34,42.30769,36.53559,True,3,
34,46,32.6337,True,2,
34,50,30.63716,True,1,
35.5,43.90244,100,True,1,
36.125,37.5,100,False,1,
35.25,36,78.7856,False,3,
35.25,44.64286,80.41611,False,2,
35,42.59259,68.06496,False,1,
33.75,41.50943,0.1284539,True,1,
35.125,51.6129,66.61539,False,2,
35.375,46.37682,72.36658,False,1,
34.25,51.6129,17.49621,False,1,
33.5,50.81967,0,False,1,
33,53.84616,0,True,2,
32.875,55.88235,0,True,1,
33.375,56.52174,0,True,1,
33.75,53.42466,23.39687,True,2,
33.75,60.9375,29.9215,True,1,
34.75,66.1017,84.47961,False,8,
34.875,53.33333,92.3405,False,3,
34.875,52.45902,96.5142,False,2,
34.875,50.84746,99.33363,False,1,
34.5,40.81633,74.0496,True,2,
34.5,56.09756,80.26637,True,1,
34.875,58.97436,100,False,2,
34.875,42.42424,100,False,1,
34.375,29.62963,86.59036,True,1,
35,29.62963,100,True,1,
